Date,CatACOE
2023-01-16,78760.00399076939
2023-01-31,77919.69809925556
2023-02-15,76009.74180865288
2023-03-02,73279.04958200455
2023-03-17,69848.39521741867
2023-04-01,65970.03626430035
2023-04-16,61692.570987939835
2023-05-01,57374.81301224232
2023-05-16,53176.79681456089
2023-05-31,49065.1793627739
2023-06-15,45059.05302858353
2023-06-30,41428.30204498768
2023-07-15,38158.57419639826
2023-07-30,35318.72388714552
2023-08-14,32839.39168179035
2023-08-29,30787.422839164734
2023-09-13,29427.87909412384
2023-09-28,28142.60236942768
2023-10-13,26959.037263214588
2023-10-28,25891.37130701542
2023-11-12,24943.44712883234
2023-11-27,24111.5264005661
2023-12-12,23387.69056379795
2023-12-27,22761.158302247524
2024-01-11,22220.538968622684
2024-01-26,21755.073204517365
2024-02-10,21354.797624468803
2024-02-25,21010.301906973124
2024-03-11,20713.550842404366
2024-03-26,20457.554964900017
